x,y,z
1250.071,1010.848,1
1250.071,1010.848,1
1250.071,1010.848,1
1250.071,1010.848,1
1250.071,1010.848,1
1250.071,1010.848,1
1250.071,1010.848,1
1251.327,1010.535,1
1253.028,1009.325,1
1253.028,1009.325,1
1254.149,1011.921,1
1257.253,1011.126,1
1258.693,1013.169,1
1261.514,1012.647,1
1261.514,1012.647,1
1262.665,1015.075,1
1265.465,1014.660,1
1266.539,1016.663,1
1269.196,1015.825,1
1269.196,1015.825,1
1271.011,1017.742,1
1273.101,1016.880,1
1273.822,1018.343,1
1276.366,1017.840,1
1276.366,1017.840,1
1277.462,1019.586,1
1279.840,1019.006,1
1281.208,1020.870,1
1283.650,1020.196,1
1283.650,1020.196,1
1284.836,1022.279,1
1287.130,1021.523,1
1288.474,1023.330,1
1291.290,1022.016,1
1291.290,1022.016,1
1293.035,1023.363,1
1295.892,1022.229,1
1297.613,1024.060,1
1300.463,1023.671,1
1300.463,1023.671,1
1301.984,1025.740,1
1304.791,1024.622,1
1306.286,1025.783,1
1308.647,1024.757,1
1308.647,1024.757,1
1310.368,1026.560,1
1313.730,1025.885,1
1315.205,1027.417,1
1315.393,1025.905,1
1315.393,1025.905,1
1315.984,1027.656,1
1318.041,1026.595,1
1319.052,1028.422,1
1321.675,1027.676,1
1321.675,1027.676,1
1322.827,1029.492,1
1324.994,1029.032,1
1326.518,1030.885,1
1329.411,1029.961,1
1329.411,1029.961,1
1330.907,1031.738,1
1333.463,1031.059,1
1334.580,1033.228,1
1337.192,1032.901,1
1337.192,1032.901,1
1338.661,1034.835,1
1341.178,1034.657,1
1342.328,1036.808,1
1344.960,1036.043,1
1344.960,1036.043,1
1346.119,1037.868,1
1348.734,1037.815,1
1349.979,1039.660,1
1352.642,1038.898,1
1352.642,1038.898,1
1353.924,1040.515,1
1356.697,1039.859,1
1358.076,1041.927,1
1360.883,1041.499,1
1362.252,1043.199,1
1362.252,1043.199,1
1364.962,1043.221,1
1365.957,1045.472,1
1368.773,1045.296,1
1370.027,1047.000,1
1370.027,1047.000,1
1372.781,1046.283,1
1373.827,1048.499,1
1376.351,1048.140,1
1377.372,1049.829,1
1377.372,1049.829,1
1380.168,1049.519,1
1381.054,1051.462,1
1383.463,1051.411,1
1384.793,1053.482,1
1384.793,1053.482,1
1387.596,1053.411,1
1388.319,1055.396,1
1391.194,1054.985,1
1393.001,1056.767,1
1393.001,1056.767,1
1394.776,1055.939,1
1395.016,1057.415,1
1396.965,1055.159,1
1396.965,1055.159,1
1397.637,1056.401,1
1399.928,1055.455,1
1400.122,1057.216,1
1402.579,1056.970,1
1402.579,1056.970,1
1403.324,1059.112,1
1405.954,1059.509,1
1406.512,1061.824,1
1408.423,1062.092,1
1408.423,1062.092,1
1409.337,1064.414,1
1411.192,1063.835,1
1411.889,1065.419,1
1413.830,1065.184,1
1413.830,1065.184,1
1414.845,1068.057,1
1416.605,1068.705,1
1419.207,1070.869,1
