id,layer,x,y
0,1,1486.1484375,1060.10474505
1,1,1520.98816526,1029.7125
2,1,1610.0921875,1060.27800901
3,1,1638.13359375,1021.39733784
4,1,1640.290625,972.439004507
5,1,1603.13822326,958.625
6,1,1594.36322326,948.690509015
7,1,1644.01171875,904.729745493
8,1,1660.921875,917.179745493
9,1,1690.31953125,950.506134015
10,1,1703.98376773,992.18125
11,1,1697.60390625,1042.31828606
12,1,1669.28822326,1086.228125
13,1,1624.23984375,1112.98587951
14,1,1575.77323288,1118.55914303
15,1,1523.31128546,1099.89074099
16,1,1403.3296875,1029.125
17,1,1426.2820006,995.378127641
18,1,1431.68671875,963.026504507
19,1,1242.38533023,894.003009015
20,1,1099.62505799,839.209953826
21,1,1065.625,832.742940303
22,1,903.3453125,775.630208333
23,1,874.21015625,778.440046174
24,1,854.4734375,796.323958333
25,1,845.329397537,793.514120493
26,1,837.153067007,775.9125
27,1,669.928298978,720.186921174
28,1,616.853067007,713.862846856
29,1,589.961776743,700.291666667
30,1,570.862847955,703.769096856
31,1,574.752285757,721.572337841
32,1,569.31171875,749.96875
33,1,575.04375,775.198495493
34,1,592.229803485,770.75
35,1,642.246875,788.854745493
36,1,649.861660757,767.1875
37,1,696.20703125,783.614583333
38,1,699.078067007,774.123842348
39,1,746.01640625,782.625
40,1,769.0328125,791.031828826
41,1,811.13359375,812.90625
42,1,808.074942007,822.594907652
43,1,923.526678485,863.048032652
44,1,927.3875,852.933217348
45,1,973.2140625,861.909375
46,1,997.5390625,871.270833333
47,1,1038.634375,894.507291667
48,1,1035.97957151,902.394907652
49,1,1085.1125,919.54375
50,1,1101.10005799,913.883333333
51,1,1104.4421875,922.943287159
52,1,1087.80306701,928.385995493
53,1,1100.3515625,963.576504507
54,1,1146.86412049,947.795254507
55,1,1189.66875,972.685763522
56,1,515.195428485,791.703009015
57,1,546.5578125,626.903009015
58,1,575.507754507,612.8
59,1,584.253298978,591.215045074
60,1,493.685995493,780.702662159
61,1,450.359259015,899.823495493
62,1,429.2203125,894.251157652
63,1,421.321875,915.785648637
64,1,201.448553485,839.034490985
65,1,232.5921875,748.226504507
66,1,119.9078125,708.168171174
67,1,127.882696515,683.696759015
68,1,183.621875,703.424421174
69,1,193.401504507,680.458333333
70,1,216.26875,688.891666667
71,1,280.509375,505.542592348
72,1,300.896701022,513.748148637
73,1,350.5421875,377.766666667
74,1,921.343692007,576.858333333
75,1,887.595919772,697.673031552
76,1,929.157522537,748.263887423
77,1,1070.51377254,804.642360378
78,1,1124.97560727,787.885995493
79,1,1169.98081671,763.061342349
80,1,1176.46556701,749.527198219
81,1,1165.13888852,739.895833333
82,1,1119.28616947,755.370369393
83,1,1116.18822326,746.267360378
84,1,1076.07583924,760.384837841
85,1,1071.75390625,749.041666667
86,1,1020.47578125,737.029513522
87,1,971.29921875,697.884837841
88,1,945.990625,664.507522537
