x,y,z
1250.071,1010.848,1
1250.071,1010.848,1
1250.071,1010.848,1
1250.071,1010.848,1
1250.071,1010.848,1
1250.071,1010.848,1
1250.071,1010.848,1
1250.071,1010.848,1
1251.331,1010.542,1
1253.042,1009.339,1
1254.150,1011.946,1
1254.150,1011.946,1
1257.281,1011.158,1
1258.678,1013.185,1
1261.507,1012.678,1
1261.507,1012.678,1
1262.646,1015.117,1
1265.454,1014.717,1
1266.518,1016.730,1
1266.518,1016.730,1
1269.198,1015.897,1
1270.953,1017.797,1
1273.051,1016.945,1
1273.051,1016.945,1
1273.765,1018.415,1
1276.317,1017.925,1
1277.405,1019.680,1
1279.790,1019.113,1
1279.790,1019.113,1
1281.151,1020.988,1
1283.601,1020.327,1
1284.774,1022.405,1
1284.774,1022.405,1
1287.133,1021.631,1
1288.450,1023.426,1
1291.279,1022.127,1
1291.279,1022.127,1
1293.019,1023.486,1
1295.888,1022.366,1
1297.602,1024.210,1
1300.459,1023.837,1
1300.459,1023.837,1
1301.972,1025.918,1
1304.789,1024.814,1
1306.280,1025.986,1
1306.280,1025.986,1
1308.652,1024.972,1
1310.358,1026.776,1
1313.784,1026.095,1
1313.784,1026.095,1
1314.395,1027.049,1
1314.592,1025.535,1
1315.174,1027.293,1
1315.174,1027.293,1
1317.240,1026.242,1
1318.243,1028.078,1
1320.875,1027.346,1
1322.018,1029.172,1
1322.018,1029.172,1
1324.202,1028.716,1
1325.683,1030.546,1
1328.587,1029.636,1
1328.587,1029.636,1
1330.075,1031.425,1
1332.640,1030.759,1
1333.746,1032.939,1
1333.746,1032.939,1
1336.365,1032.626,1
1337.825,1034.572,1
1340.348,1034.408,1
1340.348,1034.408,1
1341.488,1036.570,1
1344.129,1035.818,1
1345.277,1037.641,1
1347.944,1037.583,1
1347.944,1037.583,1
1349.183,1039.451,1
1351.828,1038.724,1
1353.103,1040.351,1
1353.103,1040.351,1
1355.885,1039.710,1
1357.254,1041.789,1
1360.069,1041.376,1
1360.069,1041.376,1
1361.435,1043.100,1
1364.088,1043.174,1
1365.102,1045.477,1
1365.102,1045.477,1
1367.924,1045.317,1
1369.170,1047.031,1
1371.901,1046.348,1
1373.002,1048.634,1
1373.002,1048.634,1
1375.532,1048.289,1
1376.546,1049.986,1
1379.331,1049.695,1
1379.331,1049.695,1
1380.238,1051.703,1
1382.652,1051.666,1
1383.972,1053.748,1
1383.972,1053.748,1
1386.781,1053.693,1
1387.493,1055.686,1
1390.376,1055.291,1
1392.176,1057.086,1
1392.176,1057.086,1
1393.959,1056.267,1
1394.192,1057.747,1
1396.157,1055.498,1
1396.157,1055.498,1
1396.823,1056.747,1
1399.123,1055.812,1
1399.308,1057.577,1
1399.308,1057.577,1
1401.771,1057.345,1
1402.505,1059.495,1
1405.137,1059.907,1
1405.137,1059.907,1
1405.683,1062.245,1
1407.549,1062.538,1
1408.451,1064.869,1
1408.451,1064.869,1
1410.312,1064.300,1
